branch,label,config,bandgap_eV,e_fermi_eV,d_CuN_mean,d_CuN_std,d_CuN_min,d_TaN_mean,d_TaN_std,d_TaN_min,d_metalN_mean,d_metalN_std
temperature_650.0,650 K,config_34,0.798418,5.272918,,,,,,,,
temperature_650.0,650 K,config_35,0.736571,5.255829,,,,,,,,
temperature_650.0,650 K,config_36,0.779246,5.201732,,,,,,,,
temperature_650.0,650 K,config_37,0.701823,5.277276,,,,,,,,
temperature_650.0,650 K,config_38,0.726415,5.264522,,,,,,,,
temperature_650.0,650 K,config_39,0.780080,5.227637,,,,,,,,
temperature_650.0,650 K,config_40,0.787349,5.253267,,,,,,,,
temperature_650.0,650 K,config_41,0.802214,5.209796,,,,,,,,
temperature_650.0,650 K,config_42,0.802697,5.230015,,,,,,,,
temperature_650.0,650 K,config_43,0.733514,5.254461,,,,,,,,
temperature_650.0,650 K,config_44,0.807077,5.261176,,,,,,,,
temperature_650.0,650 K,config_45,0.795102,5.200849,,,,,,,,
temperature_650.0,650 K,config_46,0.796814,5.196833,,,,,,,,
temperature_650.0,650 K,config_47,0.747609,5.239729,,,,,,,,
temperature_650.0,650 K,config_48,0.720491,5.208555,,,,,,,,
temperature_650.0,650 K,config_49,0.807284,5.210271,,,,,,,,
temperature_650.0,650 K,config_50,0.768717,5.195742,,,,,,,,
temperature_650.0,650 K,config_51,0.795991,5.189315,,,,,,,,
temperature_650.0,650 K,config_52,0.767119,5.206423,,,,,,,,
temperature_650.0,650 K,config_53,0.774196,5.217333,,,,,,,,
temperature_650.0,650 K,config_54,0.790553,5.261665,,,,,,,,
temperature_650.0,650 K,config_55,0.721962,5.323572,,,,,,,,
temperature_650.0,650 K,config_56,0.747557,5.241278,,,,,,,,
temperature_650.0,650 K,config_57,0.730924,5.259453,,,,,,,,
temperature_650.0,650 K,config_58,0.782028,5.255873,,,,,,,,
temperature_650.0,650 K,config_59,0.797563,5.266915,,,,,,,,
temperature_650.0,650 K,config_60,0.738675,5.181635,,,,,,,,
temperature_650.0,650 K,config_61,0.740433,5.258972,,,,,,,,
temperature_650.0,650 K,config_62,0.739196,5.289810,,,,,,,,
temperature_650.0,650 K,config_63,0.740115,5.206887,,,,,,,,
temperature_650.0,650 K,config_64,0.771883,5.257276,,,,,,,,
temperature_650.0,650 K,config_65,0.738393,5.300690,,,,,,,,
temperature_650.0,650 K,config_66,0.790247,5.193301,,,,,,,,
temperature_650.0,650 K,config_67,0.819296,5.191926,,,,,,,,
temperature_650.0,650 K,config_68,0.760012,5.235434,,,,,,,,
temperature_650.0,650 K,config_69,0.771527,5.317414,,,,,,,,
temperature_650.0,650 K,config_70,0.757105,5.252052,,,,,,,,
temperature_650.0,650 K,config_71,0.744030,5.240607,,,,,,,,
temperature_650.0,650 K,config_72,0.769350,5.202253,,,,,,,,
temperature_650.0,650 K,config_73,0.772817,5.195503,,,,,,,,
temperature_650.0,650 K,config_74,0.866723,5.197801,,,,,,,,
temperature_650.0,650 K,config_75,0.852287,5.211341,,,,,,,,
temperature_650.0,650 K,config_76,0.796236,5.199500,,,,,,,,
temperature_650.0,650 K,config_77,0.804060,5.194431,,,,,,,,
temperature_650.0,650 K,config_78,0.647508,5.257432,,,,,,,,
temperature_650.0,650 K,config_79,0.656558,5.239924,,,,,,,,
temperature_650.0,650 K,config_80,0.764336,5.268411,,,,,,,,
temperature_650.0,650 K,config_81,0.778025,5.253949,,,,,,,,
temperature_650.0,650 K,config_82,0.825159,5.197412,,,,,,,,
temperature_650.0,650 K,config_83,0.842439,5.189793,,,,,,,,
